"Step","default vector 8c1 ema zero init - train/lm_loss","default vector 8c1 ema zero init - train/lm_loss__MIN","default vector 8c1 ema zero init - train/lm_loss__MAX","baseline 8c1 - train/lm_loss","baseline 8c1 - train/lm_loss__MIN","baseline 8c1 - train/lm_loss__MAX"
"1","12","12","12","12","12","12"
"2","12","12","12","12","12","12"
"3","11.875","11.875","11.875","11.875","11.875","11.875"
"4","11.5","11.5","11.5","11.5625","11.5625","11.5625"
"5","11.25","11.25","11.25","11.25","11.25","11.25"
"6","10.9375","10.9375","10.9375","10.9375","10.9375","10.9375"
"7","10.6875","10.6875","10.6875","10.6875","10.6875","10.6875"
"8","10.5625","10.5625","10.5625","10.5625","10.5625","10.5625"
"9","10.5","10.5","10.5","10.5","10.5","10.5"
"10","10.375","10.375","10.375","10.375","10.375","10.375"
"11","10.375","10.375","10.375","10.375","10.375","10.375"
"12","10.25","10.25","10.25","10.25","10.25","10.25"
"13","10.25","10.25","10.25","10.25","10.25","10.25"
"14","10.25","10.25","10.25","10.25","10.25","10.25"
"15","10.1875","10.1875","10.1875","10.1875","10.1875","10.1875"
"16","10.125","10.125","10.125","10.125","10.125","10.125"
"17","10.125","10.125","10.125","10.125","10.125","10.125"
"18","10","10","10","10","10","10"
"19","10","10","10","10","10","10"
"20","9.875","9.875","9.875","9.875","9.875","9.875"
"21","9.875","9.875","9.875","9.875","9.875","9.875"
"22","9.75","9.75","9.75","9.75","9.75","9.75"
"23","9.75","9.75","9.75","9.75","9.75","9.75"
"24","9.625","9.625","9.625","9.625","9.625","9.625"
"25","9.5","9.5","9.5","9.5","9.5","9.5"
"26","9.4375","9.4375","9.4375","9.4375","9.4375","9.4375"
"27","9.375","9.375","9.375","9.375","9.375","9.375"
"28","9.3125","9.3125","9.3125","9.3125","9.3125","9.3125"
"29","9.1875","9.1875","9.1875","9.1875","9.1875","9.1875"
"30","9.125","9.125","9.125","9.125","9.125","9.125"
"31","9","9","9","9","9","9"
"32","8.875","8.875","8.875","8.875","8.875","8.875"
"33","8.8125","8.8125","8.8125","8.8125","8.8125","8.8125"
"34","8.75","8.75","8.75","8.75","8.75","8.75"
"35","8.6875","8.6875","8.6875","8.6875","8.6875","8.6875"
"36","8.5625","8.5625","8.5625","8.5625","8.5625","8.5625"
"37","8.4375","8.4375","8.4375","8.5","8.5","8.5"
"38","8.375","8.375","8.375","8.375","8.375","8.375"
"39","8.25","8.25","8.25","8.25","8.25","8.25"
"40","8.25","8.25","8.25","8.25","8.25","8.25"
"41","8.1875","8.1875","8.1875","8.125","8.125","8.125"
"42","8.125","8.125","8.125","8.125","8.125","8.125"
"43","8","8","8","8","8","8"
"44","8","8","8","8","8","8"
"45","8","8","8","7.96875","7.96875","7.96875"
"46","7.9375","7.9375","7.9375","7.875","7.875","7.875"
"47","7.875","7.875","7.875","7.875","7.875","7.875"
"48","7.84375","7.84375","7.84375","7.8125","7.8125","7.8125"
"49","7.8125","7.8125","7.8125","7.78125","7.78125","7.78125"
"50","7.75","7.75","7.75","7.71875","7.71875","7.71875"
"51","7.71875","7.71875","7.71875","7.6875","7.6875","7.6875"
"52","7.6875","7.6875","7.6875","7.65625","7.65625","7.65625"
"53","7.65625","7.65625","7.65625","7.59375","7.59375","7.59375"
"54","7.625","7.625","7.625","7.59375","7.59375","7.59375"
"55","7.59375","7.59375","7.59375","7.5625","7.5625","7.5625"
"56","7.59375","7.59375","7.59375","7.53125","7.53125","7.53125"
"57","7.53125","7.53125","7.53125","7.5","7.5","7.5"
"58","7.46875","7.46875","7.46875","7.46875","7.46875","7.46875"
"59","7.5","7.5","7.5","7.46875","7.46875","7.46875"
"60","7.53125","7.53125","7.53125","7.46875","7.46875","7.46875"
"61","7.4375","7.4375","7.4375","7.40625","7.40625","7.40625"
"62","7.40625","7.40625","7.40625","7.375","7.375","7.375"
"63","7.34375","7.34375","7.34375","7.34375","7.34375","7.34375"
"64","7.34375","7.34375","7.34375","7.34375","7.34375","7.34375"
"65","7.375","7.375","7.375","7.34375","7.34375","7.34375"
"66","7.34375","7.34375","7.34375","7.3125","7.3125","7.3125"
"67","7.25","7.25","7.25","7.25","7.25","7.25"
"68","7.25","7.25","7.25","7.21875","7.21875","7.21875"
"69","7.1875","7.1875","7.1875","7.1875","7.1875","7.1875"
"70","7.15625","7.15625","7.15625","7.125","7.125","7.125"
"71","7.125","7.125","7.125","7.125","7.125","7.125"
"72","7.125","7.125","7.125","7.125","7.125","7.125"
"73","7.125","7.125","7.125","7.0625","7.0625","7.0625"
"74","7.0625","7.0625","7.0625","7.0625","7.0625","7.0625"
"75","7.03125","7.03125","7.03125","7","7","7"
"76","7.03125","7.03125","7.03125","7","7","7"
"77","7","7","7","7","7","7"
"78","7","7","7","7","7","7"
"79","6.9375","6.9375","6.9375","6.9375","6.9375","6.9375"
"80","6.9375","6.9375","6.9375","6.90625","6.90625","6.90625"
"81","6.9375","6.9375","6.9375","6.875","6.875","6.875"
"82","6.875","6.875","6.875","6.8125","6.8125","6.8125"
"83","6.875","6.875","6.875","6.875","6.875","6.875"
"84","6.8125","6.8125","6.8125","6.8125","6.8125","6.8125"
"85","6.8125","6.8125","6.8125","6.8125","6.8125","6.8125"
"86","6.8125","6.8125","6.8125","6.75","6.75","6.75"
"87","6.75","6.75","6.75","6.75","6.75","6.75"
"88","6.75","6.75","6.75","6.75","6.75","6.75"
"89","6.71875","6.71875","6.71875","6.65625","6.65625","6.65625"
"90","6.71875","6.71875","6.71875","6.65625","6.65625","6.65625"
"91","6.71875","6.71875","6.71875","6.65625","6.65625","6.65625"
"92","6.65625","6.65625","6.65625","6.625","6.625","6.625"
"93","6.65625","6.65625","6.65625","6.59375","6.59375","6.59375"
"94","6.625","6.625","6.625","6.59375","6.59375","6.59375"
"95","6.65625","6.65625","6.65625","6.5625","6.5625","6.5625"
"96","6.59375","6.59375","6.59375","6.53125","6.53125","6.53125"
"97","6.5625","6.5625","6.5625","6.53125","6.53125","6.53125"
"98","6.53125","6.53125","6.53125","6.5","6.5","6.5"
"99","6.53125","6.53125","6.53125","6.5","6.5","6.5"
"100","6.53125","6.53125","6.53125","6.46875","6.46875","6.46875"
"101","6.5","6.5","6.5","6.46875","6.46875","6.46875"
"102","6.46875","6.46875","6.46875","6.46875","6.46875","6.46875"
"103","6.5","6.5","6.5","6.4375","6.4375","6.4375"
"104","6.46875","6.46875","6.46875","6.40625","6.40625","6.40625"
"105","6.4375","6.4375","6.4375","6.375","6.375","6.375"
"106","6.40625","6.40625","6.40625","6.34375","6.34375","6.34375"
"107","6.40625","6.40625","6.40625","6.34375","6.34375","6.34375"
"108","6.40625","6.40625","6.40625","6.40625","6.40625","6.40625"
"109","6.40625","6.40625","6.40625","6.3125","6.3125","6.3125"
"110","6.40625","6.40625","6.40625","6.34375","6.34375","6.34375"
"111","6.34375","6.34375","6.34375","6.28125","6.28125","6.28125"
"112","6.34375","6.34375","6.34375","6.25","6.25","6.25"
"113","6.3125","6.3125","6.3125","6.28125","6.28125","6.28125"
"114","6.3125","6.3125","6.3125","6.25","6.25","6.25"
"115","6.3125","6.3125","6.3125","6.3125","6.3125","6.3125"
"116","6.28125","6.28125","6.28125","6.25","6.25","6.25"
"117","6.28125","6.28125","6.28125","6.21875","6.21875","6.21875"
"118","6.25","6.25","6.25","6.1875","6.1875","6.1875"
"119","6.21875","6.21875","6.21875","6.1875","6.1875","6.1875"
"120","6.25","6.25","6.25","6.1875","6.1875","6.1875"
"121","6.21875","6.21875","6.21875","6.125","6.125","6.125"
"122","6.1875","6.1875","6.1875","6.15625","6.15625","6.15625"
"123","6.1875","6.1875","6.1875","6.125","6.125","6.125"
"124","6.1875","6.1875","6.1875","6.09375","6.09375","6.09375"
"125","6.1875","6.1875","6.1875","6.09375","6.09375","6.09375"
"126","6.125","6.125","6.125","6.0625","6.0625","6.0625"
"127","6.125","6.125","6.125","6.0625","6.0625","6.0625"
"128","6.09375","6.09375","6.09375","6.0625","6.0625","6.0625"
"129","6.09375","6.09375","6.09375","6.09375","6.09375","6.09375"
"130","6.0625","6.0625","6.0625","6.0625","6.0625","6.0625"
"131","6.0625","6.0625","6.0625","6.0625","6.0625","6.0625"
"132","6.0625","6.0625","6.0625","6","6","6"
"133","6.0625","6.0625","6.0625","6","6","6"
"134","6.03125","6.03125","6.03125","6","6","6"
"135","6.03125","6.03125","6.03125","6","6","6"
"136","6.0625","6.0625","6.0625","6","6","6"
"137","6","6","6","5.96875","5.96875","5.96875"
"138","6","6","6","5.9375","5.9375","5.9375"
"139","6","6","6","5.9375","5.9375","5.9375"
"140","5.96875","5.96875","5.96875","5.9375","5.9375","5.9375"
"141","5.96875","5.96875","5.96875","5.96875","5.96875","5.96875"
"142","5.9375","5.9375","5.9375","5.90625","5.90625","5.90625"
"143","5.96875","5.96875","5.96875","5.9375","5.9375","5.9375"
"144","6","6","6","5.9375","5.9375","5.9375"
"145","5.9375","5.9375","5.9375","5.875","5.875","5.875"
"146","5.9375","5.9375","5.9375","5.875","5.875","5.875"
"147","5.9375","5.9375","5.9375","5.875","5.875","5.875"
"148","5.9375","5.9375","5.9375","5.84375","5.84375","5.84375"
"149","5.875","5.875","5.875","5.84375","5.84375","5.84375"
"150","5.875","5.875","5.875","5.75","5.75","5.75"
"151","5.875","5.875","5.875","5.8125","5.8125","5.8125"
"152","5.875","5.875","5.875","5.8125","5.8125","5.8125"
"153","5.875","5.875","5.875","5.78125","5.78125","5.78125"
"154","5.8125","5.8125","5.8125","5.75","5.75","5.75"
"155","5.84375","5.84375","5.84375","5.75","5.75","5.75"
"156","5.875","5.875","5.875","5.71875","5.71875","5.71875"
"157","5.875","5.875","5.875","5.78125","5.78125","5.78125"
"158","5.8125","5.8125","5.8125","5.75","5.75","5.75"
"159","5.8125","5.8125","5.8125","5.71875","5.71875","5.71875"
"160","5.8125","5.8125","5.8125","5.65625","5.65625","5.65625"
"161","5.75","5.75","5.75","5.65625","5.65625","5.65625"
"162","5.75","5.75","5.75","5.65625","5.65625","5.65625"
"163","5.71875","5.71875","5.71875","5.625","5.625","5.625"
"164","5.71875","5.71875","5.71875","5.65625","5.65625","5.65625"
"165","5.6875","5.6875","5.6875","5.65625","5.65625","5.65625"
"166","5.6875","5.6875","5.6875","5.625","5.625","5.625"
"167","5.6875","5.6875","5.6875","5.59375","5.59375","5.59375"
"168","5.6875","5.6875","5.6875","5.59375","5.59375","5.59375"
"169","5.65625","5.65625","5.65625","5.5625","5.5625","5.5625"
"170","5.65625","5.65625","5.65625","5.53125","5.53125","5.53125"
"171","5.65625","5.65625","5.65625","5.53125","5.53125","5.53125"
"172","5.65625","5.65625","5.65625","5.5625","5.5625","5.5625"
"173","5.65625","5.65625","5.65625","5.53125","5.53125","5.53125"
"174","5.625","5.625","5.625","5.5625","5.5625","5.5625"
"175","5.59375","5.59375","5.59375","5.5625","5.5625","5.5625"
"176","5.59375","5.59375","5.59375","5.5","5.5","5.5"
"177","5.5625","5.5625","5.5625","5.5","5.5","5.5"
"178","5.53125","5.53125","5.53125","5.5","5.5","5.5"
"179","5.53125","5.53125","5.53125","5.46875","5.46875","5.46875"
"180","5.5","5.5","5.5","5.40625","5.40625","5.40625"
"181","5.5","5.5","5.5","5.46875","5.46875","5.46875"
"182","5.5","5.5","5.5","5.46875","5.46875","5.46875"
"183","5.5","5.5","5.5","5.40625","5.40625","5.40625"
"184","5.46875","5.46875","5.46875","5.40625","5.40625","5.40625"
"185","5.46875","5.46875","5.46875","5.40625","5.40625","5.40625"
"186","5.53125","5.53125","5.53125","5.4375","5.4375","5.4375"
"187","5.5","5.5","5.5","5.40625","5.40625","5.40625"
"188","5.5","5.5","5.5","5.34375","5.34375","5.34375"
"189","5.46875","5.46875","5.46875","5.375","5.375","5.375"
"190","5.46875","5.46875","5.46875","5.34375","5.34375","5.34375"
"191","5.5","5.5","5.5","5.375","5.375","5.375"
"192","5.4375","5.4375","5.4375","5.34375","5.34375","5.34375"
"193","5.40625","5.40625","5.40625","5.34375","5.34375","5.34375"
"194","5.40625","5.40625","5.40625","5.3125","5.3125","5.3125"
"195","5.40625","5.40625","5.40625","5.34375","5.34375","5.34375"
"196","5.40625","5.40625","5.40625","5.34375","5.34375","5.34375"
"197","5.375","5.375","5.375","5.3125","5.3125","5.3125"
"198","5.34375","5.34375","5.34375","5.3125","5.3125","5.3125"
"199","5.34375","5.34375","5.34375","5.3125","5.3125","5.3125"
"200","5.34375","5.34375","5.34375","5.3125","5.3125","5.3125"
"201","5.34375","5.34375","5.34375","5.25","5.25","5.25"
"202","5.34375","5.34375","5.34375","5.25","5.25","5.25"
"203","5.34375","5.34375","5.34375","5.28125","5.28125","5.28125"
"204","5.3125","5.3125","5.3125","5.25","5.25","5.25"
"205","5.3125","5.3125","5.3125","5.28125","5.28125","5.28125"
"206","5.25","5.25","5.25","5.25","5.25","5.25"
"207","5.25","5.25","5.25","5.1875","5.1875","5.1875"
"208","5.25","5.25","5.25","5.1875","5.1875","5.1875"
"209","5.28125","5.28125","5.28125","5.1875","5.1875","5.1875"
"210","5.28125","5.28125","5.28125","5.1875","5.1875","5.1875"
"211","5.1875","5.1875","5.1875","5.1875","5.1875","5.1875"
"212","5.1875","5.1875","5.1875","5.125","5.125","5.125"
"213","5.1875","5.1875","5.1875","5.125","5.125","5.125"
"214","5.25","5.25","5.25","5.15625","5.15625","5.15625"
"215","5.1875","5.1875","5.1875","5.125","5.125","5.125"
"216","5.1875","5.1875","5.1875","5.125","5.125","5.125"
"217","5.1875","5.1875","5.1875","5.15625","5.15625","5.15625"
"218","5.1875","5.1875","5.1875","5.125","5.125","5.125"
"219","5.1875","5.1875","5.1875","5.125","5.125","5.125"
"220","5.1875","5.1875","5.1875","5.125","5.125","5.125"
"221","5.1875","5.1875","5.1875","5.09375","5.09375","5.09375"
"222","5.125","5.125","5.125","5.125","5.125","5.125"
"223","5.125","5.125","5.125","5.0625","5.0625","5.0625"
"224","5.15625","5.15625","5.15625","5.09375","5.09375","5.09375"
"225","5.125","5.125","5.125","5.0625","5.0625","5.0625"
"226","5.125","5.125","5.125","5.0625","5.0625","5.0625"
"227","5.125","5.125","5.125","5.0625","5.0625","5.0625"
"228","5.125","5.125","5.125","5.0625","5.0625","5.0625"
"229","5.0625","5.0625","5.0625","5","5","5"
"230","5.0625","5.0625","5.0625","5.03125","5.03125","5.03125"
"231","5.09375","5.09375","5.09375","5","5","5"
"232","5.0625","5.0625","5.0625","5.03125","5.03125","5.03125"
"233","5.0625","5.0625","5.0625","5","5","5"
"234","5.0625","5.0625","5.0625","5","5","5"
"235","5.0625","5.0625","5.0625","5","5","5"
"236","5.03125","5.03125","5.03125","5","5","5"
"237","5.03125","5.03125","5.03125","5","5","5"
"238","5.0625","5.0625","5.0625","5","5","5"
"239","5.0625","5.0625","5.0625","5","5","5"
"240","5.03125","5.03125","5.03125","5","5","5"
"241","5","5","5","5","5","5"
"242","5","5","5","4.9375","4.9375","4.9375"
"243","5","5","5","4.96875","4.96875","4.96875"
"244","5","5","5","4.96875","4.96875","4.96875"
"245","5","5","5","4.96875","4.96875","4.96875"
"246","5","5","5","4.96875","4.96875","4.96875"
"247","5","5","5","4.9375","4.9375","4.9375"
"248","5","5","5","4.9375","4.9375","4.9375"
"249","4.96875","4.96875","4.96875","4.9375","4.9375","4.9375"
"250","4.9375","4.9375","4.9375","4.9375","4.9375","4.9375"
"251","5","5","5","4.9375","4.9375","4.9375"
"252","4.96875","4.96875","4.96875","4.9375","4.9375","4.9375"
"253","4.9375","4.9375","4.9375","4.90625","4.90625","4.90625"
"254","4.96875","4.96875","4.96875","4.9375","4.9375","4.9375"
"255","4.9375","4.9375","4.9375","4.9375","4.9375","4.9375"
"256","4.9375","4.9375","4.9375","4.9375","4.9375","4.9375"
"257","4.9375","4.9375","4.9375","4.875","4.875","4.875"
"258","4.9375","4.9375","4.9375","4.875","4.875","4.875"
"259","4.9375","4.9375","4.9375","4.875","4.875","4.875"
"260","4.9375","4.9375","4.9375","4.90625","4.90625","4.90625"
"261","4.9375","4.9375","4.9375","4.875","4.875","4.875"
"262","4.9375","4.9375","4.9375","4.875","4.875","4.875"
"263","4.9375","4.9375","4.9375","4.875","4.875","4.875"
"264","4.90625","4.90625","4.90625","4.875","4.875","4.875"
"265","4.875","4.875","4.875","4.875","4.875","4.875"
"266","4.875","4.875","4.875","4.84375","4.84375","4.84375"
"267","4.875","4.875","4.875","4.8125","4.8125","4.8125"
"268","4.875","4.875","4.875","4.875","4.875","4.875"
"269","4.875","4.875","4.875","4.8125","4.8125","4.8125"
"270","4.90625","4.90625","4.90625","4.8125","4.8125","4.8125"
"271","4.875","4.875","4.875","4.8125","4.8125","4.8125"
"272","4.875","4.875","4.875","4.78125","4.78125","4.78125"
"273","4.875","4.875","4.875","4.875","4.875","4.875"
"274","4.875","4.875","4.875","4.8125","4.8125","4.8125"
"275","4.8125","4.8125","4.8125","4.75","4.75","4.75"
"276","4.875","4.875","4.875","4.8125","4.8125","4.8125"
"277","4.875","4.875","4.875","4.78125","4.78125","4.78125"
"278","4.8125","4.8125","4.8125","4.8125","4.8125","4.8125"
"279","4.8125","4.8125","4.8125","4.8125","4.8125","4.8125"
"280","4.8125","4.8125","4.8125","4.8125","4.8125","4.8125"
"281","4.8125","4.8125","4.8125","4.8125","4.8125","4.8125"
"282","4.8125","4.8125","4.8125","4.8125","4.8125","4.8125"
"283","4.8125","4.8125","4.8125","4.75","4.75","4.75"
"284","4.8125","4.8125","4.8125","4.8125","4.8125","4.8125"
"285","4.8125","4.8125","4.8125","4.8125","4.8125","4.8125"
"286","4.8125","4.8125","4.8125","4.8125","4.8125","4.8125"
"287","4.71875","4.71875","4.71875","4.71875","4.71875","4.71875"
"288","4.78125","4.78125","4.78125","4.75","4.75","4.75"
"289","4.78125","4.78125","4.78125","4.78125","4.78125","4.78125"
"290","4.75","4.75","4.75","4.8125","4.8125","4.8125"
"291","4.75","4.75","4.75","4.8125","4.8125","4.8125"
"292","4.71875","4.71875","4.71875","4.75","4.75","4.75"
"293","4.75","4.75","4.75","4.75","4.75","4.75"
"294","4.71875","4.71875","4.71875","4.75","4.75","4.75"
"295","4.71875","4.71875","4.71875","4.71875","4.71875","4.71875"
"296","4.71875","4.71875","4.71875","4.71875","4.71875","4.71875"
"297","4.71875","4.71875","4.71875","4.71875","4.71875","4.71875"
"298","4.65625","4.65625","4.65625","4.6875","4.6875","4.6875"
"299","4.71875","4.71875","4.71875","4.71875","4.71875","4.71875"
"300","4.6875","4.6875","4.6875","4.65625","4.65625","4.65625"
"301","4.6875","4.6875","4.6875","4.65625","4.65625","4.65625"
"302","4.6875","4.6875","4.6875","4.6875","4.6875","4.6875"
"303","4.65625","4.65625","4.65625","4.65625","4.65625","4.65625"
"304","4.6875","4.6875","4.6875","4.65625","4.65625","4.65625"
"305","4.65625","4.65625","4.65625","4.65625","4.65625","4.65625"
"306","4.6875","4.6875","4.6875","4.59375","4.59375","4.59375"
"307","4.65625","4.65625","4.65625","4.65625","4.65625","4.65625"
"308","4.65625","4.65625","4.65625","4.65625","4.65625","4.65625"
"309","4.65625","4.65625","4.65625","4.625","4.625","4.625"
"310","4.65625","4.65625","4.65625","4.625","4.625","4.625"
"311","4.65625","4.65625","4.65625","4.625","4.625","4.625"
"312","4.65625","4.65625","4.65625","4.625","4.625","4.625"
"313","4.65625","4.65625","4.65625","4.625","4.625","4.625"
"314","4.65625","4.65625","4.65625","4.59375","4.59375","4.59375"
"315","4.625","4.625","4.625","4.59375","4.59375","4.59375"
"316","4.625","4.625","4.625","4.59375","4.59375","4.59375"
"317","4.625","4.625","4.625","4.59375","4.59375","4.59375"
"318","4.625","4.625","4.625","4.59375","4.59375","4.59375"
"319","4.59375","4.59375","4.59375","4.59375","4.59375","4.59375"
"320","4.5625","4.5625","4.5625","4.53125","4.53125","4.53125"
"321","4.59375","4.59375","4.59375","4.59375","4.59375","4.59375"
"322","4.625","4.625","4.625","4.59375","4.59375","4.59375"
"323","4.59375","4.59375","4.59375","4.59375","4.59375","4.59375"
"324","4.59375","4.59375","4.59375","4.59375","4.59375","4.59375"
