"Step","baseline 8c1 dim 512 - train/lm_loss","baseline 8c1 dim 512 - train/lm_loss__MIN","baseline 8c1 dim 512 - train/lm_loss__MAX","default vector 8c1 ema dim 512 - train/lm_loss","default vector 8c1 ema dim 512 - train/lm_loss__MIN","default vector 8c1 ema dim 512 - train/lm_loss__MAX"
"1","12","12","12","12","12","12"
"2","11.9375","11.9375","11.9375","12","12","12"
"3","11.9375","11.9375","11.9375","11.9375","11.9375","11.9375"
"4","11.875","11.875","11.875","11.8125","11.8125","11.8125"
"5","11.6875","11.6875","11.6875","11.625","11.625","11.625"
"6","11.4375","11.4375","11.4375","11.4375","11.4375","11.4375"
"7","11.3125","11.3125","11.3125","11.3125","11.3125","11.3125"
"8","11.1875","11.1875","11.1875","11.1875","11.1875","11.1875"
"9","11.0625","11.0625","11.0625","11","11","11"
"10","11","11","11","10.9375","10.9375","10.9375"
"11","10.9375","10.9375","10.9375","10.8125","10.8125","10.8125"
"12","10.8125","10.8125","10.8125","10.8125","10.8125","10.8125"
"13","10.8125","10.8125","10.8125","10.8125","10.8125","10.8125"
"14","10.8125","10.8125","10.8125","10.8125","10.8125","10.8125"
"15","10.75","10.75","10.75","10.75","10.75","10.75"
"16","10.6875","10.6875","10.6875","10.6875","10.6875","10.6875"
"17","10.6875","10.6875","10.6875","10.6875","10.6875","10.6875"
"18","10.6875","10.6875","10.6875","10.6875","10.6875","10.6875"
"19","10.6875","10.6875","10.6875","10.6875","10.6875","10.6875"
"20","10.5625","10.5625","10.5625","10.5625","10.5625","10.5625"
"21","10.5625","10.5625","10.5625","10.5625","10.5625","10.5625"
"22","10.5","10.5","10.5","10.5","10.5","10.5"
"23","10.5","10.5","10.5","10.5","10.5","10.5"
"24","10.375","10.375","10.375","10.375","10.375","10.375"
"25","10.375","10.375","10.375","10.375","10.375","10.375"
"26","10.25","10.25","10.25","10.3125","10.3125","10.3125"
"27","10.25","10.25","10.25","10.25","10.25","10.25"
"28","10.25","10.25","10.25","10.25","10.25","10.25"
"29","10.125","10.125","10.125","10.125","10.125","10.125"
"30","10.125","10.125","10.125","10.125","10.125","10.125"
"31","10","10","10","10","10","10"
"32","10","10","10","10","10","10"
"33","9.9375","9.9375","9.9375","10","10","10"
"34","9.875","9.875","9.875","9.875","9.875","9.875"
"35","9.75","9.75","9.75","9.875","9.875","9.875"
"36","9.75","9.75","9.75","9.75","9.75","9.75"
"37","9.75","9.75","9.75","9.75","9.75","9.75"
"38","9.625","9.625","9.625","9.625","9.625","9.625"
"39","9.5","9.5","9.5","9.5","9.5","9.5"
"40","9.5","9.5","9.5","9.5","9.5","9.5"
"41","9.375","9.375","9.375","9.4375","9.4375","9.4375"
"42","9.3125","9.3125","9.3125","9.3125","9.3125","9.3125"
"43","9.1875","9.1875","9.1875","9.3125","9.3125","9.3125"
"44","9.1875","9.1875","9.1875","9.1875","9.1875","9.1875"
"45","9.0625","9.0625","9.0625","9.125","9.125","9.125"
"46","9","9","9","9","9","9"
"47","8.9375","8.9375","8.9375","8.9375","8.9375","8.9375"
"48","8.8125","8.8125","8.8125","8.875","8.875","8.875"
"49","8.75","8.75","8.75","8.8125","8.8125","8.8125"
"50","8.75","8.75","8.75","8.75","8.75","8.75"
"51","8.6875","8.6875","8.6875","8.6875","8.6875","8.6875"
"52","8.5625","8.5625","8.5625","8.625","8.625","8.625"
"53","8.5","8.5","8.5","8.5","8.5","8.5"
"54","8.375","8.375","8.375","8.4375","8.4375","8.4375"
"55","8.375","8.375","8.375","8.375","8.375","8.375"
"56","8.3125","8.3125","8.3125","8.3125","8.3125","8.3125"
"57","8.25","8.25","8.25","8.25","8.25","8.25"
"58","8.1875","8.1875","8.1875","8.1875","8.1875","8.1875"
"59","8.125","8.125","8.125","8.1875","8.1875","8.1875"
"60","8.0625","8.0625","8.0625","8.0625","8.0625","8.0625"
"61","8","8","8","8","8","8"
"62","7.9375","7.9375","7.9375","8","8","8"
"63","7.90625","7.90625","7.90625","7.9375","7.9375","7.9375"
"64","7.875","7.875","7.875","7.9375","7.9375","7.9375"
"65","7.8125","7.8125","7.8125","7.90625","7.90625","7.90625"
"66","7.8125","7.8125","7.8125","7.8125","7.8125","7.8125"
"67","7.71875","7.71875","7.71875","7.75","7.75","7.75"
"68","7.65625","7.65625","7.65625","7.71875","7.71875","7.71875"
"69","7.65625","7.65625","7.65625","7.6875","7.6875","7.6875"
"70","7.59375","7.59375","7.59375","7.65625","7.65625","7.65625"
"71","7.5625","7.5625","7.5625","7.59375","7.59375","7.59375"
"72","7.53125","7.53125","7.53125","7.59375","7.59375","7.59375"
"73","7.46875","7.46875","7.46875","7.59375","7.59375","7.59375"
"74","7.46875","7.46875","7.46875","7.53125","7.53125","7.53125"
"75","7.40625","7.40625","7.40625","7.5","7.5","7.5"
"76","7.40625","7.40625","7.40625","7.46875","7.46875","7.46875"
"77","7.34375","7.34375","7.34375","7.40625","7.40625","7.40625"
"78","7.34375","7.34375","7.34375","7.40625","7.40625","7.40625"
"79","7.34375","7.34375","7.34375","7.375","7.375","7.375"
"80","7.28125","7.28125","7.28125","7.40625","7.40625","7.40625"
"81","7.28125","7.28125","7.28125","7.34375","7.34375","7.34375"
"82","7.25","7.25","7.25","7.34375","7.34375","7.34375"
"83","7.21875","7.21875","7.21875","7.28125","7.28125","7.28125"
"84","7.1875","7.1875","7.1875","7.28125","7.28125","7.28125"
"85","7.15625","7.15625","7.15625","7.21875","7.21875","7.21875"
"86","7.1875","7.1875","7.1875","7.25","7.25","7.25"
"87","7.09375","7.09375","7.09375","7.1875","7.1875","7.1875"
"88","7.0625","7.0625","7.0625","7.15625","7.15625","7.15625"
"89","7.0625","7.0625","7.0625","7.15625","7.15625","7.15625"
"90","7.03125","7.03125","7.03125","7.125","7.125","7.125"
"91","7.03125","7.03125","7.03125","7.125","7.125","7.125"
"92","7","7","7","7.0625","7.0625","7.0625"
"93","7","7","7","7.0625","7.0625","7.0625"
"94","6.96875","6.96875","6.96875","7.0625","7.0625","7.0625"
"95","6.9375","6.9375","6.9375","7","7","7"
"96","6.9375","6.9375","6.9375","7.03125","7.03125","7.03125"
"97","6.875","6.875","6.875","7","7","7"
"98","6.875","6.875","6.875","7","7","7"
"99","6.875","6.875","6.875","6.9375","6.9375","6.9375"
"100","6.8125","6.8125","6.8125","6.9375","6.9375","6.9375"
"101","6.8125","6.8125","6.8125","6.9375","6.9375","6.9375"
"102","6.8125","6.8125","6.8125","6.90625","6.90625","6.90625"
"103","6.75","6.75","6.75","6.875","6.875","6.875"
"104","6.71875","6.71875","6.71875","6.875","6.875","6.875"
"105","6.65625","6.65625","6.65625","6.875","6.875","6.875"
"106","6.65625","6.65625","6.65625","6.8125","6.8125","6.8125"
"107","6.65625","6.65625","6.65625","6.84375","6.84375","6.84375"
"108","6.65625","6.65625","6.65625","6.8125","6.8125","6.8125"
"109","6.65625","6.65625","6.65625","6.78125","6.78125","6.78125"
"110","6.625","6.625","6.625","6.75","6.75","6.75"
"111","6.59375","6.59375","6.59375","6.71875","6.71875","6.71875"
"112","6.59375","6.59375","6.59375","6.71875","6.71875","6.71875"
"113","6.53125","6.53125","6.53125","6.71875","6.71875","6.71875"
"114","6.5625","6.5625","6.5625","6.6875","6.6875","6.6875"
"115","6.53125","6.53125","6.53125","6.65625","6.65625","6.65625"
"116","6.53125","6.53125","6.53125","6.65625","6.65625","6.65625"
"117","6.53125","6.53125","6.53125","6.65625","6.65625","6.65625"
"118","6.5","6.5","6.5","6.65625","6.65625","6.65625"
"119","6.53125","6.53125","6.53125","6.65625","6.65625","6.65625"
"120","6.46875","6.46875","6.46875","6.65625","6.65625","6.65625"
"121","6.46875","6.46875","6.46875","6.59375","6.59375","6.59375"
"122","6.4375","6.4375","6.4375","6.59375","6.59375","6.59375"
"123","6.40625","6.40625","6.40625","6.5625","6.5625","6.5625"
"124","6.375","6.375","6.375","6.53125","6.53125","6.53125"
"125","6.40625","6.40625","6.40625","6.53125","6.53125","6.53125"
"126","6.34375","6.34375","6.34375","6.53125","6.53125","6.53125"
"127","6.40625","6.40625","6.40625","6.53125","6.53125","6.53125"
"128","6.34375","6.34375","6.34375","6.5","6.5","6.5"
"129","6.3125","6.3125","6.3125","6.53125","6.53125","6.53125"
"130","6.3125","6.3125","6.3125","6.46875","6.46875","6.46875"
"131","6.34375","6.34375","6.34375","6.4375","6.4375","6.4375"
"132","6.34375","6.34375","6.34375","6.4375","6.4375","6.4375"
"133","6.25","6.25","6.25","6.40625","6.40625","6.40625"
"134","6.25","6.25","6.25","6.4375","6.4375","6.4375"
"135","6.25","6.25","6.25","6.40625","6.40625","6.40625"
"136","6.25","6.25","6.25","6.40625","6.40625","6.40625"
"137","6.1875","6.1875","6.1875","6.40625","6.40625","6.40625"
"138","6.1875","6.1875","6.1875","6.34375","6.34375","6.34375"
"139","6.1875","6.1875","6.1875","6.375","6.375","6.375"
"140","6.1875","6.1875","6.1875","6.34375","6.34375","6.34375"
"141","6.1875","6.1875","6.1875","6.375","6.375","6.375"
"142","6.125","6.125","6.125","6.34375","6.34375","6.34375"
"143","6.125","6.125","6.125","6.34375","6.34375","6.34375"
"144","6.125","6.125","6.125","6.34375","6.34375","6.34375"
"145","6.09375","6.09375","6.09375","6.28125","6.28125","6.28125"
"146","6.125","6.125","6.125","6.28125","6.28125","6.28125"
"147","6.125","6.125","6.125","6.3125","6.3125","6.3125"
"148","6.0625","6.0625","6.0625","6.28125","6.28125","6.28125"
"149","6.125","6.125","6.125","6.28125","6.28125","6.28125"
"150","6.0625","6.0625","6.0625","6.25","6.25","6.25"
"151","6.0625","6.0625","6.0625","6.25","6.25","6.25"
"152","6.0625","6.0625","6.0625","6.25","6.25","6.25"
"153","6.0625","6.0625","6.0625","6.25","6.25","6.25"
"154","6","6","6","6.1875","6.1875","6.1875"
"155","6","6","6","6.1875","6.1875","6.1875"
"156","6","6","6","6.1875","6.1875","6.1875"
"157","6","6","6","6.1875","6.1875","6.1875"
"158","6","6","6","6.125","6.125","6.125"
"159","6","6","6","6.125","6.125","6.125"
"160","5.96875","5.96875","5.96875","6.15625","6.15625","6.15625"
"161","6","6","6","6.125","6.125","6.125"
"162","5.9375","5.9375","5.9375","6.125","6.125","6.125"
"163","5.96875","5.96875","5.96875","6.125","6.125","6.125"
"164","5.9375","5.9375","5.9375","6.125","6.125","6.125"
"165","5.90625","5.90625","5.90625","6.0625","6.0625","6.0625"
"166","5.9375","5.9375","5.9375","6.09375","6.09375","6.09375"
"167","5.9375","5.9375","5.9375","6.09375","6.09375","6.09375"
"168","5.875","5.875","5.875","6.0625","6.0625","6.0625"
"169","5.90625","5.90625","5.90625","6.0625","6.0625","6.0625"
"170","5.875","5.875","5.875","6.0625","6.0625","6.0625"
"171","5.84375","5.84375","5.84375","6.03125","6.03125","6.03125"
"172","5.875","5.875","5.875","6.0625","6.0625","6.0625"
"173","5.875","5.875","5.875","6.0625","6.0625","6.0625"
"174","5.875","5.875","5.875","6.0625","6.0625","6.0625"
"175","5.84375","5.84375","5.84375","6","6","6"
"176","5.84375","5.84375","5.84375","6","6","6"
"177","5.8125","5.8125","5.8125","6","6","6"
"178","5.75","5.75","5.75","6","6","6"
"179","5.8125","5.8125","5.8125","5.96875","5.96875","5.96875"
"180","5.78125","5.78125","5.78125","5.9375","5.9375","5.9375"
"181","5.8125","5.8125","5.8125","6","6","6"
"182","5.8125","5.8125","5.8125","5.96875","5.96875","5.96875"
"183","5.75","5.75","5.75","5.9375","5.9375","5.9375"
"184","5.75","5.75","5.75","5.9375","5.9375","5.9375"
"185","5.71875","5.71875","5.71875","5.9375","5.9375","5.9375"
"186","5.75","5.75","5.75","5.96875","5.96875","5.96875"
"187","5.71875","5.71875","5.71875","5.9375","5.9375","5.9375"
"188","5.75","5.75","5.75","5.9375","5.9375","5.9375"
"189","5.6875","5.6875","5.6875","5.9375","5.9375","5.9375"
"190","5.71875","5.71875","5.71875","5.9375","5.9375","5.9375"
"191","5.6875","5.6875","5.6875","5.9375","5.9375","5.9375"
"192","5.65625","5.65625","5.65625","5.875","5.875","5.875"
"193","5.625","5.625","5.625","5.90625","5.90625","5.90625"
"194","5.65625","5.65625","5.65625","5.875","5.875","5.875"
"195","5.625","5.625","5.625","5.875","5.875","5.875"
"196","5.65625","5.65625","5.65625","5.875","5.875","5.875"
"197","5.59375","5.59375","5.59375","5.84375","5.84375","5.84375"
"198","5.59375","5.59375","5.59375","5.8125","5.8125","5.8125"
"199","5.59375","5.59375","5.59375","5.875","5.875","5.875"
"200","5.59375","5.59375","5.59375","5.875","5.875","5.875"
"201","5.59375","5.59375","5.59375","5.8125","5.8125","5.8125"
"202","5.59375","5.59375","5.59375","5.75","5.75","5.75"
"203","5.59375","5.59375","5.59375","5.8125","5.8125","5.8125"
"204","5.59375","5.59375","5.59375","5.78125","5.78125","5.78125"
"205","5.59375","5.59375","5.59375","5.8125","5.8125","5.8125"
"206","5.59375","5.59375","5.59375","5.8125","5.8125","5.8125"
"207","5.59375","5.59375","5.59375","5.71875","5.71875","5.71875"
"208","5.59375","5.59375","5.59375","5.71875","5.71875","5.71875"
"209","5.53125","5.53125","5.53125","5.75","5.75","5.75"
"210","5.53125","5.53125","5.53125","5.78125","5.78125","5.78125"
"211","5.53125","5.53125","5.53125","5.75","5.75","5.75"
"212","5.46875","5.46875","5.46875","5.75","5.75","5.75"
"213","5.5","5.5","5.5","5.71875","5.71875","5.71875"
"214","5.5","5.5","5.5","5.75","5.75","5.75"
"215","5.5","5.5","5.5","5.71875","5.71875","5.71875"
"216","5.46875","5.46875","5.46875","5.65625","5.65625","5.65625"
"217","5.46875","5.46875","5.46875","5.6875","5.6875","5.6875"
"218","5.46875","5.46875","5.46875","5.65625","5.65625","5.65625"
"219","5.40625","5.40625","5.40625","5.65625","5.65625","5.65625"
"220","5.4375","5.4375","5.4375","5.65625","5.65625","5.65625"
"221","5.4375","5.4375","5.4375","5.6875","5.6875","5.6875"
"222","5.46875","5.46875","5.46875","5.625","5.625","5.625"
"223","5.40625","5.40625","5.40625","5.59375","5.59375","5.59375"
"224","5.4375","5.4375","5.4375","5.625","5.625","5.625"
"225","5.4375","5.4375","5.4375","5.625","5.625","5.625"
"226","5.4375","5.4375","5.4375","5.59375","5.59375","5.59375"
"227","5.40625","5.40625","5.40625","5.59375","5.59375","5.59375"
"228","5.40625","5.40625","5.40625","5.5625","5.5625","5.5625"
"229","5.34375","5.34375","5.34375","5.53125","5.53125","5.53125"
"230","5.40625","5.40625","5.40625","5.59375","5.59375","5.59375"
"231","5.40625","5.40625","5.40625","5.59375","5.59375","5.59375"
"232","5.40625","5.40625","5.40625","5.59375","5.59375","5.59375"
"233","5.40625","5.40625","5.40625","5.5625","5.5625","5.5625"
"234","5.34375","5.34375","5.34375","5.5625","5.5625","5.5625"
"235","5.34375","5.34375","5.34375","5.53125","5.53125","5.53125"
"236","5.34375","5.34375","5.34375","5.53125","5.53125","5.53125"
"237","5.34375","5.34375","5.34375","5.5","5.5","5.5"
"238","5.34375","5.34375","5.34375","5.53125","5.53125","5.53125"
"239","5.34375","5.34375","5.34375","5.5625","5.5625","5.5625"
"240","5.3125","5.3125","5.3125","5.46875","5.46875","5.46875"
"241","5.3125","5.3125","5.3125","5.5","5.5","5.5"
"242","5.28125","5.28125","5.28125","5.5","5.5","5.5"
"243","5.34375","5.34375","5.34375","5.46875","5.46875","5.46875"
"244","5.3125","5.3125","5.3125","5.5","5.5","5.5"
"245","5.3125","5.3125","5.3125","5.46875","5.46875","5.46875"
"246","5.34375","5.34375","5.34375","5.46875","5.46875","5.46875"
"247","5.3125","5.3125","5.3125","5.46875","5.46875","5.46875"
"248","5.28125","5.28125","5.28125","5.4375","5.4375","5.4375"
"249","5.28125","5.28125","5.28125","5.46875","5.46875","5.46875"
"250","5.25","5.25","5.25","5.4375","5.4375","5.4375"
"251","5.28125","5.28125","5.28125","5.4375","5.4375","5.4375"
"252","5.25","5.25","5.25","5.40625","5.40625","5.40625"
"253","5.28125","5.28125","5.28125","5.4375","5.4375","5.4375"
"254","5.25","5.25","5.25","5.40625","5.40625","5.40625"
"255","5.25","5.25","5.25","5.40625","5.40625","5.40625"
"256","5.25","5.25","5.25","5.40625","5.40625","5.40625"
"257","5.28125","5.28125","5.28125","5.40625","5.40625","5.40625"
"258","5.25","5.25","5.25","5.40625","5.40625","5.40625"
"259","5.1875","5.1875","5.1875","5.375","5.375","5.375"
"260","5.25","5.25","5.25","5.40625","5.40625","5.40625"
"261","5.21875","5.21875","5.21875","5.40625","5.40625","5.40625"
"262","5.21875","5.21875","5.21875","5.34375","5.34375","5.34375"
"263","5.1875","5.1875","5.1875","5.34375","5.34375","5.34375"
"264","5.1875","5.1875","5.1875","5.34375","5.34375","5.34375"
"265","5.1875","5.1875","5.1875","5.3125","5.3125","5.3125"
"266","5.1875","5.1875","5.1875","5.34375","5.34375","5.34375"
"267","5.15625","5.15625","5.15625","5.34375","5.34375","5.34375"
"268","5.1875","5.1875","5.1875","5.34375","5.34375","5.34375"
"269","5.125","5.125","5.125","5.3125","5.3125","5.3125"
"270","5.1875","5.1875","5.1875","5.34375","5.34375","5.34375"
"271","5.125","5.125","5.125","5.3125","5.3125","5.3125"
"272","5.125","5.125","5.125","5.3125","5.3125","5.3125"
"273","5.15625","5.15625","5.15625","5.34375","5.34375","5.34375"
"274","5.15625","5.15625","5.15625","5.3125","5.3125","5.3125"
"275","5.125","5.125","5.125","5.28125","5.28125","5.28125"
"276","5.125","5.125","5.125","5.3125","5.3125","5.3125"
"277","5.15625","5.15625","5.15625","5.25","5.25","5.25"
"278","5.125","5.125","5.125","5.25","5.25","5.25"
"279","5.125","5.125","5.125","5.28125","5.28125","5.28125"
"280","5.125","5.125","5.125","5.25","5.25","5.25"
"281","5.125","5.125","5.125","5.25","5.25","5.25"
"282","5.125","5.125","5.125","5.25","5.25","5.25"
"283","5.09375","5.09375","5.09375","5.25","5.25","5.25"
"284","5.09375","5.09375","5.09375","5.21875","5.21875","5.21875"
"285","5.09375","5.09375","5.09375","5.25","5.25","5.25"
"286","5.125","5.125","5.125","5.25","5.25","5.25"
"287","5.0625","5.0625","5.0625","5.1875","5.1875","5.1875"
"288","5.0625","5.0625","5.0625","5.21875","5.21875","5.21875"
"289","5.09375","5.09375","5.09375","5.25","5.25","5.25"
"290","5.09375","5.09375","5.09375","5.21875","5.21875","5.21875"
"291","5.0625","5.0625","5.0625","5.21875","5.21875","5.21875"
"292","5.0625","5.0625","5.0625","5.1875","5.1875","5.1875"
"293","5.0625","5.0625","5.0625","5.1875","5.1875","5.1875"
"294","5.0625","5.0625","5.0625","5.1875","5.1875","5.1875"
"295","5.0625","5.0625","5.0625","5.1875","5.1875","5.1875"
"296","5.0625","5.0625","5.0625","5.1875","5.1875","5.1875"
"297","5.03125","5.03125","5.03125","5.125","5.125","5.125"
"298","5.0625","5.0625","5.0625","5.15625","5.15625","5.15625"
"299","5.0625","5.0625","5.0625","5.15625","5.15625","5.15625"
"300","5","5","5","5.125","5.125","5.125"
"301","5","5","5","5.15625","5.15625","5.15625"
"302","5","5","5","5.125","5.125","5.125"
"303","5.0625","5.0625","5.0625","5.125","5.125","5.125"
"304","5.03125","5.03125","5.03125","5.125","5.125","5.125"
"305","5","5","5","5.125","5.125","5.125"
"306","5","5","5","5.125","5.125","5.125"
"307","5.03125","5.03125","5.03125","5.125","5.125","5.125"
"308","5","5","5","5.125","5.125","5.125"
"309","5","5","5","5.09375","5.09375","5.09375"
"310","5","5","5","5.125","5.125","5.125"
"311","5","5","5","5.0625","5.0625","5.0625"
"312","5","5","5","5.09375","5.09375","5.09375"
"313","5","5","5","5.09375","5.09375","5.09375"
"314","5","5","5","5.09375","5.09375","5.09375"
"315","5","5","5","5.0625","5.0625","5.0625"
"316","5","5","5","5.0625","5.0625","5.0625"
"317","5","5","5","5.0625","5.0625","5.0625"
"318","5","5","5","5.0625","5.0625","5.0625"
"319","5","5","5","5.09375","5.09375","5.09375"
"320","4.9375","4.9375","4.9375","5.0625","5.0625","5.0625"
"321","4.96875","4.96875","4.96875","5.0625","5.0625","5.0625"
"322","5","5","5","5.0625","5.0625","5.0625"
"323","4.96875","4.96875","4.96875","5.0625","5.0625","5.0625"
"324","4.96875","4.96875","4.96875","5.03125","5.03125","5.03125"
"325","4.96875","4.96875","4.96875","5.0625","5.0625","5.0625"
"326","5","5","5","5.0625","5.0625","5.0625"
"327","4.96875","4.96875","4.96875","5.0625","5.0625","5.0625"
"328","4.9375","4.9375","4.9375","5.03125","5.03125","5.03125"
"329","4.9375","4.9375","4.9375","5.03125","5.03125","5.03125"
"330","4.96875","4.96875","4.96875","5.0625","5.0625","5.0625"
"331","4.9375","4.9375","4.9375","5.03125","5.03125","5.03125"
"332","4.9375","4.9375","4.9375","5","5","5"
"333","4.9375","4.9375","4.9375","5","5","5"
"334","4.9375","4.9375","4.9375","5","5","5"
"335","4.9375","4.9375","4.9375","5","5","5"
"336","4.9375","4.9375","4.9375","5","5","5"
"337","4.9375","4.9375","4.9375","5","5","5"
"338","4.9375","4.9375","4.9375","5","5","5"
"339","4.9375","4.9375","4.9375","5","5","5"
"340","4.9375","4.9375","4.9375","5","5","5"
"341","4.90625","4.90625","4.90625","5","5","5"
"342","4.90625","4.90625","4.90625","5","5","5"
"343","4.9375","4.9375","4.9375","5","5","5"
"344","4.9375","4.9375","4.9375","5","5","5"
"345","4.90625","4.90625","4.90625","5","5","5"
"346","4.90625","4.90625","4.90625","4.96875","4.96875","4.96875"
"347","4.90625","4.90625","4.90625","5","5","5"
"348","4.90625","4.90625","4.90625","5","5","5"
"349","4.875","4.875","4.875","4.96875","4.96875","4.96875"
"350","4.90625","4.90625","4.90625","5","5","5"
"351","4.875","4.875","4.875","5","5","5"
"352","4.875","4.875","4.875","5","5","5"
"353","4.875","4.875","4.875","5","5","5"
"354","4.875","4.875","4.875","4.9375","4.9375","4.9375"
"355","4.875","4.875","4.875","4.9375","4.9375","4.9375"
"356","4.875","4.875","4.875","4.96875","4.96875","4.96875"
"357","4.875","4.875","4.875","4.9375","4.9375","4.9375"
"358","4.875","4.875","4.875","5","5","5"
"359","4.875","4.875","4.875","4.96875","4.96875","4.96875"
"360","4.875","4.875","4.875","4.9375","4.9375","4.9375"
"361","4.84375","4.84375","4.84375","4.9375","4.9375","4.9375"
"362","4.875","4.875","4.875","4.9375","4.9375","4.9375"
"363","4.875","4.875","4.875","4.9375","4.9375","4.9375"
"364","4.84375","4.84375","4.84375","4.9375","4.9375","4.9375"
"365","4.8125","4.8125","4.8125","4.90625","4.90625","4.90625"
"366","4.875","4.875","4.875","4.9375","4.9375","4.9375"
"367","4.8125","4.8125","4.8125","4.9375","4.9375","4.9375"
"368","4.8125","4.8125","4.8125","4.90625","4.90625","4.90625"
"369","4.8125","4.8125","4.8125","4.9375","4.9375","4.9375"
"370","4.84375","4.84375","4.84375","4.9375","4.9375","4.9375"
"371","4.8125","4.8125","4.8125","4.9375","4.9375","4.9375"
"372","4.8125","4.8125","4.8125","4.90625","4.90625","4.90625"
