"Step","default vector 8c1 ema 9e-4 - train/lm_loss","default vector 8c1 ema 9e-4 - train/lm_loss__MIN","default vector 8c1 ema 9e-4 - train/lm_loss__MAX","default vector 8c1 ema 7e-4 - train/lm_loss","default vector 8c1 ema 7e-4 - train/lm_loss__MIN","default vector 8c1 ema 7e-4 - train/lm_loss__MAX","expert approx 8c1 no experts 8c1 5e-4 - train/lm_loss","expert approx 8c1 no experts 8c1 5e-4 - train/lm_loss__MIN","expert approx 8c1 no experts 8c1 5e-4 - train/lm_loss__MAX","baseline 8c1 9e-4 - train/lm_loss","baseline 8c1 9e-4 - train/lm_loss__MIN","baseline 8c1 9e-4 - train/lm_loss__MAX","baseline 8c1 7e-4 - train/lm_loss","baseline 8c1 7e-4 - train/lm_loss__MIN","baseline 8c1 7e-4 - train/lm_loss__MAX","baseline 8c1 5e-4 - train/lm_loss","baseline 8c1 5e-4 - train/lm_loss__MIN","baseline 8c1 5e-4 - train/lm_loss__MAX","default vector 8c1 ema zero init - train/lm_loss","default vector 8c1 ema zero init - train/lm_loss__MIN","default vector 8c1 ema zero init - train/lm_loss__MAX","baseline 8c1 - train/lm_loss","baseline 8c1 - train/lm_loss__MIN","baseline 8c1 - train/lm_loss__MAX"
"1","12","12","12","12","12","12","12","12","12","12","12","12","12","12","12","12","12","12","12","12","12","12","12","12"
"2","12","12","12","12","12","12","12","12","12","12","12","12","12","12","12","12","12","12","12","12","12","12","12","12"
"3","11.5","11.5","11.5","11.75","11.75","11.75","11.875","11.875","11.875","11.625","11.625","11.625","11.75","11.75","11.75","11.875","11.875","11.875","11.875","11.875","11.875","11.875","11.875","11.875"
"4","10.9375","10.9375","10.9375","11.1875","11.1875","11.1875","11.375","11.375","11.375","10.9375","10.9375","10.9375","11.3125","11.3125","11.3125","11.375","11.375","11.375","11.5","11.5","11.5","11.5625","11.5625","11.5625"
"5","10.6875","10.6875","10.6875","10.75","10.75","10.75","10.9375","10.9375","10.9375","10.6875","10.6875","10.6875","10.8125","10.8125","10.8125","10.9375","10.9375","10.9375","11.25","11.25","11.25","11.25","11.25","11.25"
"6","10.5","10.5","10.5","10.5625","10.5625","10.5625","10.6875","10.6875","10.6875","10.5","10.5","10.5","10.625","10.625","10.625","10.6875","10.6875","10.6875","10.9375","10.9375","10.9375","10.9375","10.9375","10.9375"
"7","10.375","10.375","10.375","10.375","10.375","10.375","10.5","10.5","10.5","10.375","10.375","10.375","10.5","10.5","10.5","10.5","10.5","10.5","10.6875","10.6875","10.6875","10.6875","10.6875","10.6875"
"8","10.3125","10.3125","10.3125","10.375","10.375","10.375","10.5","10.5","10.5","10.3125","10.3125","10.3125","10.375","10.375","10.375","10.5","10.5","10.5","10.5625","10.5625","10.5625","10.5625","10.5625","10.5625"
"9","10.25","10.25","10.25","10.25","10.25","10.25","10.375","10.375","10.375","10.25","10.25","10.25","10.25","10.25","10.25","10.375","10.375","10.375","10.5","10.5","10.5","10.5","10.5","10.5"
"10","10.125","10.125","10.125","10.25","10.25","10.25","10.25","10.25","10.25","10.125","10.125","10.125","10.25","10.25","10.25","10.25","10.25","10.25","10.375","10.375","10.375","10.375","10.375","10.375"
"11","10.0625","10.0625","10.0625","10.125","10.125","10.125","10.25","10.25","10.25","10.0625","10.0625","10.0625","10.125","10.125","10.125","10.25","10.25","10.25","10.375","10.375","10.375","10.375","10.375","10.375"
