"Step","default vector 32c4 beta 0.9999 - train/lm_loss","default vector 32c4 beta 0.9999 - train/lm_loss__MIN","default vector 32c4 beta 0.9999 - train/lm_loss__MAX","default vector 32c1 beta 0.65 - train/lm_loss","default vector 32c1 beta 0.65 - train/lm_loss__MIN","default vector 32c1 beta 0.65 - train/lm_loss__MAX","default vector 32c2 beta 0.95 - train/lm_loss","default vector 32c2 beta 0.95 - train/lm_loss__MIN","default vector 32c2 beta 0.95 - train/lm_loss__MAX","default vector 8c1 ema zero init - train/lm_loss","default vector 8c1 ema zero init - train/lm_loss__MIN","default vector 8c1 ema zero init - train/lm_loss__MAX","default vector 8c2 ema expertwise beta 0.9 - train/lm_loss","default vector 8c2 ema expertwise beta 0.9 - train/lm_loss__MIN","default vector 8c2 ema expertwise beta 0.9 - train/lm_loss__MAX","baseline 32c4 - train/lm_loss","baseline 32c4 - train/lm_loss__MIN","baseline 32c4 - train/lm_loss__MAX","baseline 32c1 - train/lm_loss","baseline 32c1 - train/lm_loss__MIN","baseline 32c1 - train/lm_loss__MAX","baseline 8c2 - train/lm_loss","baseline 8c2 - train/lm_loss__MIN","baseline 8c2 - train/lm_loss__MAX","baseline 8c1 - train/lm_loss","baseline 8c1 - train/lm_loss__MIN","baseline 8c1 - train/lm_loss__MAX","baseline 32c2 - train/lm_loss","baseline 32c2 - train/lm_loss__MIN","baseline 32c2 - train/lm_loss__MAX"
"1","12","12","12","12","12","12","12","12","12","12","12","12","12","12","12","12","12","12","12","12","12","12","12","12","12","12","12","12","12","12"
"2","11.9375","11.9375","11.9375","11.9375","11.9375","11.9375","11.9375","11.9375","11.9375","12","12","12","12","12","12","11.9375","11.9375","11.9375","11.9375","11.9375","11.9375","12","12","12","12","12","12","11.9375","11.9375","11.9375"
"3","11.875","11.875","11.875","11.875","11.875","11.875","11.875","11.875","11.875","11.875","11.875","11.875","11.875","11.875","11.875","11.875","11.875","11.875","11.875","11.875","11.875","11.875","11.875","11.875","11.875","11.875","11.875","11.875","11.875","11.875"
"4","11.5","11.5","11.5","11.5","11.5","11.5","11.5625","11.5625","11.5625","11.5","11.5","11.5","11.5","11.5","11.5","11.5","11.5","11.5","11.625","11.625","11.625","11.5","11.5","11.5","11.5625","11.5625","11.5625","11.5625","11.5625","11.5625"
"5","11.25","11.25","11.25","11.3125","11.3125","11.3125","11.3125","11.3125","11.3125","11.25","11.25","11.25","11.1875","11.1875","11.1875","11.25","11.25","11.25","11.3125","11.3125","11.3125","11.1875","11.1875","11.1875","11.25","11.25","11.25","11.3125","11.3125","11.3125"
"6","11","11","11","11","11","11","11","11","11","10.9375","10.9375","10.9375","10.8125","10.8125","10.8125","11","11","11","11","11","11","10.8125","10.8125","10.8125","10.9375","10.9375","10.9375","11","11","11"
"7","10.8125","10.8125","10.8125","10.8125","10.8125","10.8125","10.8125","10.8125","10.8125","10.6875","10.6875","10.6875","10.6875","10.6875","10.6875","10.8125","10.8125","10.8125","10.8125","10.8125","10.8125","10.6875","10.6875","10.6875","10.6875","10.6875","10.6875","10.8125","10.8125","10.8125"
"8","10.6875","10.6875","10.6875","10.6875","10.6875","10.6875","10.6875","10.6875","10.6875","10.5625","10.5625","10.5625","10.5625","10.5625","10.5625","10.6875","10.6875","10.6875","10.6875","10.6875","10.6875","10.5625","10.5625","10.5625","10.5625","10.5625","10.5625","10.6875","10.6875","10.6875"
"9","10.5625","10.5625","10.5625","10.5625","10.5625","10.5625","10.5625","10.5625","10.5625","10.5","10.5","10.5","10.4375","10.4375","10.4375","10.5625","10.5625","10.5625","10.5625","10.5625","10.5625","10.5","10.5","10.5","10.5","10.5","10.5","10.5625","10.5625","10.5625"
"10","10.5","10.5","10.5","10.5625","10.5625","10.5625","10.5625","10.5625","10.5625","10.375","10.375","10.375","10.375","10.375","10.375","10.5","10.5","10.5","10.5625","10.5625","10.5625","10.375","10.375","10.375","10.375","10.375","10.375","10.5625","10.5625","10.5625"
"11","10.375","10.375","10.375","10.375","10.375","10.375","10.375","10.375","10.375","10.375","10.375","10.375","10.375","10.375","10.375","10.375","10.375","10.375","10.5","10.5","10.5","10.375","10.375","10.375","10.375","10.375","10.375","10.375","10.375","10.375"
"12","10.375","10.375","10.375","10.375","10.375","10.375","10.375","10.375","10.375","10.25","10.25","10.25","10.25","10.25","10.25","10.375","10.375","10.375","10.375","10.375","10.375","10.25","10.25","10.25","10.25","10.25","10.25","10.375","10.375","10.375"
"13","10.3125","10.3125","10.3125","10.3125","10.3125","10.3125","10.3125","10.3125","10.3125","10.25","10.25","10.25","10.25","10.25","10.25","10.3125","10.3125","10.3125","10.3125","10.3125","10.3125","10.25","10.25","10.25","10.25","10.25","10.25","10.3125","10.3125","10.3125"
"14","10.25","10.25","10.25","10.25","10.25","10.25","10.25","10.25","10.25","10.25","10.25","10.25","10.25","10.25","10.25","10.25","10.25","10.25","10.25","10.25","10.25","10.25","10.25","10.25","10.25","10.25","10.25","10.25","10.25","10.25"
"15","10.25","10.25","10.25","10.25","10.25","10.25","10.25","10.25","10.25","10.1875","10.1875","10.1875","10.1875","10.1875","10.1875","10.25","10.25","10.25","10.25","10.25","10.25","10.125","10.125","10.125","10.1875","10.1875","10.1875","10.25","10.25","10.25"
"16","10.25","10.25","10.25","10.25","10.25","10.25","10.25","10.25","10.25","10.125","10.125","10.125","10.125","10.125","10.125","10.25","10.25","10.25","10.25","10.25","10.25","10.125","10.125","10.125","10.125","10.125","10.125","10.25","10.25","10.25"
"17","10.125","10.125","10.125","10.125","10.125","10.125","10.125","10.125","10.125","10.125","10.125","10.125","10.0625","10.0625","10.0625","10.125","10.125","10.125","10.125","10.125","10.125","10.0625","10.0625","10.0625","10.125","10.125","10.125","10.125","10.125","10.125"
"18","10.0625","10.0625","10.0625","10.125","10.125","10.125","10.0625","10.0625","10.0625","10","10","10","10","10","10","10.0625","10.0625","10.0625","10.125","10.125","10.125","10","10","10","10","10","10","10.0625","10.0625","10.0625"
"19","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10"
"20","10","10","10","10","10","10","10","10","10","9.875","9.875","9.875","9.875","9.875","9.875","10","10","10","10","10","10","9.875","9.875","9.875","9.875","9.875","9.875","10","10","10"
"21","9.875","9.875","9.875","9.9375","9.9375","9.9375","9.875","9.875","9.875","9.875","9.875","9.875","9.875","9.875","9.875","9.875","9.875","9.875","9.9375","9.9375","9.9375","9.875","9.875","9.875","9.875","9.875","9.875","9.875","9.875","9.875"
"22","9.875","9.875","9.875","9.875","9.875","9.875","9.875","9.875","9.875","9.75","9.75","9.75","9.75","9.75","9.75","9.875","9.875","9.875","9.875","9.875","9.875","9.75","9.75","9.75","9.75","9.75","9.75","9.875","9.875","9.875"
"23","9.75","9.75","9.75","9.8125","9.8125","9.8125","9.75","9.75","9.75","9.75","9.75","9.75","9.75","9.75","9.75","9.75","9.75","9.75","9.8125","9.8125","9.8125","9.75","9.75","9.75","9.75","9.75","9.75","9.75","9.75","9.75"
"24","9.75","9.75","9.75","9.75","9.75","9.75","9.75","9.75","9.75","9.625","9.625","9.625","9.625","9.625","9.625","9.75","9.75","9.75","9.75","9.75","9.75","9.625","9.625","9.625","9.625","9.625","9.625","9.75","9.75","9.75"
"25","9.625","9.625","9.625","9.625","9.625","9.625","9.625","9.625","9.625","9.5","9.5","9.5","9.5","9.5","9.5","9.625","9.625","9.625","9.625","9.625","9.625","9.5","9.5","9.5","9.5","9.5","9.5","9.625","9.625","9.625"
"26","9.625","9.625","9.625","9.625","9.625","9.625","9.625","9.625","9.625","9.4375","9.4375","9.4375","9.4375","9.4375","9.4375","9.625","9.625","9.625","9.625","9.625","9.625","9.4375","9.4375","9.4375","9.4375","9.4375","9.4375","9.625","9.625","9.625"
